786 Smart Fund
Faysal Islamic Financial Planning Fund (Faysal Sharia Capital Preservation Plan III)
Faysal Islamic Financial Planning Fund (Faysal Sharia Capital Preservation Plan IV)
Faysal Islamic Financial Planning Fund (Faysal Sharia Capital Preservation Plan V)
Faysal Islamic Financial Planning Fund (Faysal Sharia Capital Preservation Plan VI)
Faysal Islamic Financial Planning Fund (Faysal Sharia Capital Preservation Plan VII)
Faysal Islamic Financial Planning Fund (Faysal Sharia Capital Preservation Plan VIII)
Faysal Islamic Savings Growth Fund
Faysal Islamic Stock Fund
Faysal Money Market Fund
Faysal MTS Fund
Faysal Savings Growth Fund
Faysal Sharia Planning Fund (Faysal Sharia Capital Preservation Plan II)
Faysal Sharia Planning Fund (Faysal Sharia Capital Preservation Plan)
Faysal Stock Fund
First Capital Mutual Fund
First Capital Mutual Fund
First Capital Mutual Fund
First Dawood Mutual Fund
AL Habib Asset Allocation Fund
AL Habib Cash Fund
AL Habib Income Fund
AL Habib Islamic Income Fund
AL Habib Islamic Stock Fund
AL Habib Stock Fund
Golden Arrow Stock Fund (Formerly: Golden Arrow Selected Stocks Fund)
Golden Arrow Stock Fund
HBL Cash Fund
HBL Cash Fund
HBL Energy Fund
HBL Equity Fund
HBL Financial Planning Fund (Active Allocation Plan)
HBL Financial Planning Fund (Conservative Allocation Plan)
HBL Financial Planning Fund (Special Income Plan)
HBL Financial Planning Fund (Strategic Allocation Plan)
HBL Government Securities Fund
HBL Government Securities Fund
HBL Growth Fund Class A
HBL Growth Fund−Class B (Formerly PICIC Growth Fund)
HBL Growth Fund Class B (Formerly PICIC Growth Fund)
HBL Income Fund
HBL Investment Fund−Class B (Formerly PICIC Investment Fund)
HBL Investment Fund Class A
HBL Investment Fund−Class B (Formerly PICIC Investment Fund)
HBL Islamic Asset Allocation Fund
HBL Islamic Asset Allocation Fund Plan I
HBL Islamic Dedicated Equity Fund
HBL Islamic Equity Fund
HBL Islamic Financial Planning Fund (Active Allocation Plan)
HBL Islamic Financial Planning Fund (Conservative Allocation Plan)
HBL Islamic Financial Planning Fund (Islamic Capital Preservation)
HBL Islamic Financial Planning Fund (Strategic Allocation Plan)
HBL Islamic Income Fund
HBL Islamic Money Market Fund
HBL Islamic Pension Fund
HBL Islamic Pension Fund
HBL Islamic Pension Fund
HBL Islamic Stock Fund
HBL Money Market Fund
HBL Multi Asset Fund
HBL Mustahekum Sarmaya Fund 1
HBL Pension Fund
HBL Pension Fund
HBL Pension Fund
HBL Stock Fund
IGI Aggressive Income Fund
IGI Capital Protected Fund
JS Aggressive Asset Allocation
JS Aggressive Income Fund
JS Capital Protected Fund
JS Capital Protected Fund IV
JS Capital Protected Fund V
JS Cash Fund
JS Fund of Funds
JS Growth Fund
JS Growth Fund
JS Growth Fund
JS Income Fund
JS Islamic Hybrid Fund of Funds (JS Islamic Capital Preservation Allocation Plan VIII)
JS Islamic Hybrid Fund of Funds III (JS Islamic Capital Preservation Allocation Plan VI)
JS Islamic Daily Dividend Fund
JS Islamic Dedicated Equity Fund
JS Islamic Fund
JS Islamic Hybrid Fund of Funds (JS Islamic Active Allocation Plan I)
JS Islamic Hybrid Fund of Funds (Mufeed)
JS Islamic Hybrid Fund of Funds (Munafa)
JS Islamic Hybrid Fund of Funds (Mustahkem)
JS Islamic Hybrid Fund of Funds (Mustanad)
JS Islamic Hybrid Fund of Funds (Mutanasib)
JS Islamic Hybrid Fund of Funds II (JS Islamic Capital Preservation Allocation Plan I)
JS Islamic Hybrid Fund of Funds II (JS Islamic Capital Preservation Allocation Plan II)
JS Islamic Hybrid Fund of Funds II (JS Islamic Capital Preservation Allocation Plan III)
JS Islamic Hybrid Fund of Funds II (JS Islamic Capital Preservation Allocation Plan IV)
JS Islamic Hybrid Fund of Funds II (JS Islamic Capital Preservation Allocation Plan V)
JS Islamic Hybrid Fund of Funds II (JS Islamic Active Allocation Plan II)
JS Islamic Hybrid Fund of Funds III (JS Islamic Capital Preservation Allocation Plan IX)
JS Islamic Hybrid Fund of Funds III (JS Islamic Capital Preservation Allocation Plan VII)
JS Islamic Income Fund
JS Islamic Pension Savings Fund
JS Islamic Pension Savings Fund
JS Islamic Pension Savings Fund
JS KSE 30 Index Fund
JS Large Cap Fund
JS Large Cap Fund
JS Large Cap Fund
JS Large Cap FundB
JS Pension Savings Fund
JS Pension Savings Fund
JS Pension Savings Fund
JS Principal Secure Fund I
JS Principal Secure Fund II
JS Value Fund
JS Value Fund
JS Value Fund
KASB Asset Allocation Fund
KASB Capital Protected Gold Fund
KASB Cash Fund
KASB Income Opportunity Fund
KASB Income Opportunity Fund with Contingent Back End Load
KASB Islamic Income Opportunity Fund
KASB Stock Market Fund
KSE Meezan Index Fund
Lakson Asset Allocation Developed Markets Fund
Lakson Equity Fund
Lakson Income Fund
Lakson Islamic Tactical Fund
Lakson Money Market Fund
Lakson Tactical Fund
MCB Cash Management Optimizer
MCB DCF Income Fund
MCB Dynamic Stock Fund
MCB Pakistan Asset Allocation Fund
MCB Pakistan Frequent Payout Fund
MCB Pakistan Sovereign Fund
MCB Pakistan Stock Market Fund
MCB Sarmaya Mehfooz Fund-1
Meezan Asset Allocation Fund
Meezan Balanced Fund
Meezan Capital Preservation Fund II
Meezan Capital Preservation Fund III
Meezan Capital Protected Fund
Meezan Capital Protected Fund II
Meezan Cash Fund
Meezan Dedicated Equity Fund
Meezan Energy Fund
Meezan Financial Planning Fund of Funds (Aggressive)
Meezan Financial Planning Fund of Funds (Conservative)
Meezan Financial Planning Fund of Funds (MAAP I)
Meezan Financial Planning Fund of Funds (MAAP II)
Meezan Financial Planning Fund of Funds (MAAP III)
Meezan Financial Planning Fund of Funds (MAAP IV)
Meezan Financial Planning Fund of Funds (MCPP I)
Meezan Financial Planning Fund of Funds (MCPP II)
Meezan Financial Planning Fund of Funds (Moderate)
Meezan Gold Fund
Meezan Islamic Fund
Meezan Islamic Income Fund
Meezan Islamic Income Fund
Meezan Pakistan ETF
Meezan Rozana Amdani Fund
Meezan Sovereign Fund
Meezan Strategic Allocation Fund (Meezan Capital Preservation Plan III)
Meezan Strategic Allocation Fund (MSAP I)
Meezan Strategic Allocation Fund (MSAP II)
Meezan Strategic Allocation Fund (MSAP III)
Meezan Strategic Allocation Fund (MSAP IV)
Meezan Strategic Allocation Fund (MSAP V)
Meezan Strategic Allocation Fund II (Meezan Capital Preservation Plan IV)
Meezan Strategic Allocation Fund II (Meezan Capital Preservation Plan V)
Meezan Strategic Allocation Fund II (Meezan Capital Preservation Plan VI)
Meezan Strategic Allocation Fund II (Meezan Capital Preservation Plan VII)
Meezan Strategic Allocation Fund II (Meezan Capital Preservation Plan VIII)
Meezan Strategic Allocation Fund III (Meezan Capital Preservation Plan IX)
Meezan Tahaffuz Pension Fund
Meezan Tahaffuz Pension Fund
Meezan Tahaffuz Pension Fund
Meezan Tahaffuz Pension Fund
MetroBank Pakistan Sovereign Fund (12/12)
NAFA Islamic Active Allocation Plan I
NAFA Islamic Active Allocation Plan II
NAFA Islamic Active Allocation Plan III
NAFA Islamic Active Allocation Plan IV
NAFA Islamic Active Allocation Plan V
NAFA Islamic Active Allocation Plan VI
NAFA Islamic Active Allocation Plan VII
NAFA Islamic Active Allocation Plan VIII
NAFA Islamic Capital Preservation Plan I
NAFA Islamic Capital Preservation Plan II
NAFA Islamic Capital Preservation Plan III
NAFA Islamic Capital Preservation Plan IV
NAFA Islamic Pension Fund
NAFA Islamic Pension Fund
NAFA Islamic Pension Fund
NAFA Islamic Principal Preservation Fund
NAFA Islamic Principal Protected Fund I
NAFA Islamic Principal Protected Fund II
NAFA Pension Fund
NAFA Pension Fund
NAFA Pension Fund
NAMCO Balanced Fund
NAMCO Income Fund
National Investment Unit Trust
National Investment Unit Trust − LOC
NBP Active Allocation Riba Free Savings Fund
NBP Balanced Fund
NBP Financial Sector Fund
NBP Financial Sector Income Fund
NBP Government Securities Liquid Fund
NBP Government Securities Plan I
NBP Government Securities Savings Fund
NBP Income Opportunity Fund
NBP Islamic Active Allocation Equity Fund
NBP Islamic Capital Preservation Plan V
NBP Islamic Daily Dividend Fund
NBP Islamic Energy Fund
NBP Islamic Income Fund
NBP Islamic Mahana Amdani Fund
NBP Islamic Money Market Fund
NBP Islamic Regular Income Fund
NBP Islamic Sarmaya Izafa Fund
NBP Islamic Savings Fund
NBP Islamic Stock Fund
NBP Mahana Amdani Fund
NBP Money Market Fund
NBP Pakistan Growth Exchange Traded Fund
NBP Riba Free Savings Fund
NBP Sarmaya Izafa Fund
NBP Savings Fund
NBP Stock Fund
NIT Asset Allocation Fund
NIT Government Bond Fund
NIT Income Fund
NIT Islamic Equity Fund
NIT Islamic Income Fund
NIT Islamic Pension Fund
NIT Islamic Pension Fund
NIT Islamic Pension Fund
NIT Money Market Fund
NIT Pakistan Gateway Exchange Traded Fund
NIT Pension Fund
NIT Pension Fund
NIT Pension Fund
NIT Pension Fund
Pak Oman Advantage Asset Allocation Fund
Pak Oman Advantage Fund
Pak Oman Advantage Islamic Income Fund
Pak Oman Income Fund
Pak Oman Islamic Asset Allocation Fund
Pakistan Capital Market Fund
Pakistan Capital Protected Fund (FIS)
Pakistan Capital Protected Fund 1
Pakistan Cash Management Fund
Pakistan Income Enhancement Fund
Pakistan Income Fund
Pakistan Pension Fund
Pakistan Pension Fund
Pakistan Pension Fund
Pakistan Premier Fund
Pakistan Sarmaya Mehfooz Fund
PICIC Growth Fund
PICIC Investment Fund
PIML Daily Reserve Fund
Primus Strategic Multi Asset Fund
Safeway Mutual Fund
UBL Active Principal Preservation Plan I
UBL Active Principal Preservation Plan II
UBL Active Principal Preservation Plan III
UBL Asset Allocation Fund
UBL Capital Protected Fund
UBL Capital Protected Fund II
UBL Capital Protected Fund III
UBL Cash Fund
UBL Conservative Allocation Plan
UBL Dedicated Equity Fund
UBL Financial Sector Fund
UBL Gold Fund
UBL Government Securities Fund
UBL Growth & Income Fund
UBL Growth & Income Fund
UBL Income Opportunity Fund
UBL Liquidity Plus Fund
UBL Money Market Fund
UBL Pakistan Enterprise Exchange Traded Fund
UBL Principal Protected Fund I
UBL Principal Protected Fund II
UBL Principal Protected Fund III
UBL Retirement Saving Fund
UBL Retirement Saving Fund
UBL Retirement Saving Fund
UBL Retirement Saving Fund
UBL Special Savings Plan I
UBL Special Savings Plan II
UBL Special Savings Plan III
UBL Special Savings Plan IV
UBL Special Savings Plan V
UBL Special Savings Plan VI
UBL Special Savings Plan VIII
UBL Stock Advantage Fund
Unit Trust of Pakistan
AWT Money Market Fund
Meezan Daily Income Fund (MDIP I)
NIT Islamic Money Market Fund
Faysal Special Savings Plan I
Faysal Islamic Pension Fund
Faysal Islamic Pension Fund
Faysal Islamic Pension Fund
Faysal Pension Fund
Faysal Pension Fund
Faysal Pension Fund
Atlas Liquid Fund
ABL Islamic Financial Planning Fund (Capital Preservation Plan II)
Pak Oman Daily Dividend Fund
HBL Growth Fund Class B
HBL Investment Fund Class B
AL Habib Islamic Cash Fund
AL Habib Islamic Savings Fund
AL Habib Money Market Fund
JS Momentum Factor Exchange Traded Fund
Faysal Sharia Planning Fund (Faysal Sharia Capital Preservation Plan IX)
Alfalah Consumer Index Exchange Traded Fund
HBL Financial Sector Income Fund Plan I
NAFA Islamic Capital Preservation Plan III
Alfalah GHP Islamic Prosperity Planning Fund II (Alfalah Islamic Capital Preservation Plan VI)
Alfalah GHP Dedicated Equity Fund
JS Microfinance Sector Fund
NIT Social Impact Fund
UBL Special Savings Plan IX
AL Habib Pension Fund
AL Habib Pension Fund
AL Habib Pension Fund
Alhamra Wada Plan (Alhamra Wada Plan I)
Faysal Islamic Financial Planning Fund II (Faysal Sharia Capital Preservation Plan X)
Faysal Islamic Special Income Plan I
JS Government Securities Fund
MCB Pakistan Fixed Return Fund (MCB Pakistan Fixed Return Plan I)
MCB Pakistan Opportunity Fund (MCB Pakistan Dividend Yield Plan)
Meezan Paaidaar Munafa Plan I
NBP Islamic Capital Preservation Plan VI
Faysal Special Savings Plan II
ABL Special Saving Fund (ABL Special Saving Plan VI)
AL Habib Islamic Pension Fund
AL Habib Islamic Pension Fund
AL Habib Islamic Pension Fund
Alfalah Stable Return Fund
Alhamra Wada Plan (Alhamra Wada Plan III)
Alhamra Wada Plan (Alhamra Wada Plan IV)
Faysal Special Savings Plan III
HBL Islamic Asset Allocation Fund Plan II
HBL Total Treasury Exchange Traded Fund
MCB Pakistan Fixed Return Fund (MCB Pakistan Fixed Return Plan III)
Meezan Paaidaar Munafa Plan II
UBL Fixed Return Plan I (A)
UBL Fixed Return Plan I (B)
Lakson Islamic Money Market Fund
Pak Qatar Islamic Stock Fund
MCB Pakistan Fixed Return Fund (MCB Pakistan Fixed Return Plan IV)
Meezan Paaidaar Munafa Plan I
Pak Qatar Asan Munafa Plan
Pak Qatar Daily Dividend Plan
Pak Qatar Cash Plan
Pak Qatar Income Plan
Pak Qatar Khalis Bachat Plan
Pak Qatar Monthly Income Plan
MCB Pakistan Fixed Return Fund (MCB Pakistan Fixed Return Plan II)
MCB Pakistan Fixed Return Fund (MCB Pakistan Fixed Return Plan VII)
Meezan Daily Income Fund (Meezan Mahana Munafa Plan)
NBP Fixed Term Munafa Plan III
UBL Fixed Return Plan I (F)
Pak Qatar Islamic Pension Fund
Pak Qatar Islamic Pension Fund
Pak Qatar Islamic Pension Fund
UBL Special Savings Plan VII
Alfalah Stable Return Plan II
Alhamra Wada Plan (Alhamra Wada Plan V)
UBL Fixed Return Plan I (C)
AWT Financial Sector Income Fund
UBL Fixed Return Plan I (D)
UBL Fixed Return Plan I (E)
UBL Fixed Return Plan I (G)
Alhamra Wada Plan (Alhamra Wada Plan VI)
NBP Cash Plan I
NBP Cash Plan II
NBP Income Plan I
Meezan Paaidaar Munafa Plan I
Faysal Islamic Sovereign Fund (Faysal Islamic Sovereign Plan I)
ABL Special Savings Fund (ABL Fixed Return Plan)
AKD Islamic Daily Dividend Fund
UBL Fixed Return Plan II (A)
UBL Fixed Return Plan III (A)
UBL Fixed Return Plan III (D)
JS Money Market Fund
MCB Pakistan Fixed Return Fund (MCB Pakistan Fixed Return Plan V)
NBP Government Securities Plan II
UBL Fixed Return Plan III (B)
UBL Fixed Return Plan III (C)
Alfalah Stable Return Plan III
UBL Fixed Return Plan I (I)
MCB Pakistan Fixed Return Fund (MCB Pakistan Fixed Return Plan VI)
AL Habib Fixed Return Fund Plan I
AL Habib Fixed Return Fund Plan 2
AL Habib Islamic Munafa Fund Plan I
NBP Fixed Term Munafa Plan I
NBP Government Securities Plan III
MCB Pakistan Fixed Return Fund (MCB Pakistan Fixed Return Plan IX)
UBL Fixed Return Plan II (D)
Meezan Paaidaar Munafa Plan III
UBL Fixed Return Plan III (E)
UBL Fixed Return Plan II (I)
UBL Special Savings Plan X
UBL Fixed Return Plan I (K)
Alfalah Stable Return Plan V
Alfalah Islamic Money Market Fund
Alhamra Wada Plan (Alhamra Wada Plan VII)
MCB Pakistan Fixed Return Fund (MCB Pakistan Fixed Return Plan XI)
Meezan Paaidaar Munafa Plan IV
NBP Islamic Fixed Term Munafa Plan II
AL Habib Fixed Return Fund Plan 3
NBP Fixed Term Munafa Plan II
UBL Fixed Return Plan III (F)
NBP Government Securities Plan IV
UBL Fixed Return Plan II (H)
NBP Government Securities Plan V
Alhamra Cash Management Optimizer
AL Habib Islamic Munafa Fund Plan II
Meezan Paaidaar Munafa Plan VI
Meezan Paaidaar Munafa Plan V
NBP Islamic Fixed Term Munafa Plan I
Alfalah Islamic Stable Return Fund Plan I
Meezan Paaidaar Munafa Plan VIII
AL Habib Fixed Return Fund Plan 4
AL Habib Fixed Return Fund Plan 5
AL Habib Fixed Return Fund Plan 6
Meezan Daily Income Fund (Meezan Sehl Account Plan) (MSHP)
Alhamra Wada Plan (Alhamra Wada Plan VIII)
MCB Pakistan Fixed Return Fund (MCB Pakistan Fixed Return Plan XII)
MCB Pakistan Fixed Return Fund (MCB Pakistan Fixed Return Plan XIII)
Al Ameen Islamic Income Fund
UBL Fixed Return Plan II (B)
MCB Pakistan Fixed Return Fund (MCB Pakistan Fixed Return Plan X)
Meezan Paaidaar Munafa Plan VII
UBL Fixed Return Plan III (I)
Al Ameen Islamic Fixed Return Plan I (A)
Al Ameen Islamic Fixed Return Plan I (F)
UBL Fixed Return Plan I (B)
UBL Fixed Return Plan II (C)
UBL Fixed Return Plan II (E)
AL Habib Fixed Return Fund Plan 7
AL Habib Government Securities Fund
Alfalah Stable Return Plan VII
UBL Fixed Return Plan II (F)
Meezan Paaidaar Munafa Plan V
Faysal Islamic Financial Growth Fund (Faysal Islamic Financial Growth Plan I)
HBL Mehfooz Munafa Fund Plan II
ABL Financial Sector Fund Plan I
UBL Fixed Return Plan III (H)
UBL Fixed Return Plan III (J)
Alfalah Financial Sector Income Fund
AL Habib Fixed Return Fund Plan 8
Alhamra Wada Plan (Alhamra Wada Plan X)
MCB Pakistan Fixed Return Fund (MCB Pakistan Fixed Return Plan XIV)
Pak Qatar Asset Allocation Plan I (PQAAP IA)
Pak Qatar Asset Allocation Plan II (PQAAP IIA)
Meezan Financial Planning Fund of Funds (Very Conservative Allocation Plan)
Alfalah KTrade Islamic Plan VII
Meezan Daily Income Fund (Meezan Munafa Plan I)
Meezan Paaidaar Munafa Plan V
IAML Equity Fund
Meezan Paaidaar Munafa Plan VIII
MCB Pakistan Fixed Return Fund (MCB Pakistan Fixed Return Plan XV)
Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan I)
NBP Government Securities Plan VI
UBL Special Savings Plan XI
Meezan Paaidaar Munafa Plan V
UBL Fixed Return Plan II (K)
Alhamra Wada Plan (Alhamra Wada Plan XI)
NBP Fixed Term Munafa Plan IV
UBL Fixed Return Plan I (H)
ABL Fixed Rate Plan I
Alfalah Financial Value Fund (Alfalah Financial Value Plan I)
Pak Qatar Islamic Asset Allocation Fund (Pak Qatar Stable Return Plan I)
Alfalah Stable Return Plan VI
MCB Pakistan Fixed Return Fund (MCB Pakistan Fixed Return Plan XVI)
NBP Fixed Term Munafa Plan V
JS Islamic Premium Fund
MCB Pakistan Fixed Return Fund (MCB Pakistan Fixed Return Plan XVII)
ABL Money Market Plan I
UBL Fixed Return Plan I (L)
UBL Fixed Return Plan II (J)
ABL Fixed Rate Plan II
Alfalah Stable Return Plan VIII
UBL Fixed Return Plan I (J)
UBL Fixed Return Plan III (G)
AL Habib Fixed Return Fund Plan 9
AL Habib GOKP Islamic Pension Fund
AL Habib GOPK Pension Fund
UBL Fixed Return Plan I (M)
Atlas KPK Islamic Pension Fund
Atlas KPK Islamic Pension Fund
Atlas KPK Islamic Pension Fund
NBP GoKP Islamic Pension Fund
NBP GoKP Pension Fund
MCB Alhamra KPK Govt Employees Pension Fund
MCB Alhamra KPK Govt Employees Pension Fund
MCB Alhamra KPK Govt Employees Pension Fund
MCB KPK Govt Employees Pension Fund
MCB KPK Govt Employees Pension Fund
MCB KPK Govt Employees Pension Fund
NIT KP Islamic Pension Fund
NIT KP Islamic Pension Fund
NIT KP Islamic Pension Fund
NIT KP Pension Fund
NIT KP Pension Fund
NIT KP Pension Fund
Atlas KPK Islamic Pension Fund
MCB Alhamra KPK Govt Employees Pension Fund
MCB KPK Govt Employees Pension Fund
Meezan GOKP Pension Fund
JS KPK Islamic Pension Fund
JS KPK Islamic Pension Fund
JS KPK Islamic Pension Fund
JS KPK Pension Fund
JS KPK Pension Fund
JS KPK Pension Fund
NIT KP Islamic Pension Fund
NIT KP Pension Fund
Al Ameen Voluntary Pension Fund KPK
Alfalah Islamic KPK Employee Pension Fund
Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan II)
Alfalah KPK Employee Pension Fund
HBL KPK Pension Fund
NBP Fixed Term Munafa Plan VI
UBL Voluntary Pension Fund KPK
HBL KPK Islamic Pension Fund
UBL Fixed Return Plan III (K)
UBL Fixed Return Plan III (M)
Faysal Islamic KPK Government Pension Fund
UBL Fixed Return Plan III (L)
MCB Pakistan Fixed Return Fund (MCB Pakistan Fixed Return Plan XVIII)
ABL Islamic Money Market Plan I
UBL Fixed Return Plan II (L)
UBL Fixed Return Plan IV (A)
Meezan Paaidaar Munafa Plan VIII
NBP Fixed Term Munafa Plan VII
AL Habib Fixed Return Fund Plan 10
UBL Fixed Return Plan IV (B)
UBL Fixed Return Plan I (L)
Faysal Islamic Sovereign Fund (Faysal Islamic Sovereign Plan II)
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan I)
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan II)
NBP Islamic Government Securities Plan III
